ID,Montant_du_pret,Prix_de_Vente,Localisation
100001,128200,180000,130
100002,72750,145000,100
100003,107600,145000,110
100004,104550,170000,100
100005,129850,137000,100
100006,73400,259000,100
100007,90850,280000,110
100008,95150,264000,130
100009,81500,170000,100
100010,89100,95000,101
100011,37050,575000,120
100012,59250,349900,130
100013,44150,98000,100
100014,112850,153000,100
100015,78000,355000,100
100016,74100,525000,100
100017,96300,355000,100
100018,73500,525000,100
100019,75350,245000,130
100020,81250,235000,100
100021,61400,950000,110
100022,33800,210000,120
100023,79550,222500,101
100024,82500,215000,120
100025,96900,240000,120
100026,101650,150000,100
100027,58600,240000,120
100028,89150,310000,100
100029,114200,185000,101
100030,73850,103000,101
100031,89250,650000,101
100032,84650,349000,100
100033,59150,170000,120
100034,44300,159900,100
100035,83900,165000,100
100036,86150,235000,100
100037,69150,254500,130
100038,93650,420000,111
100039,119500,125000,130
100040,79150,190000,100
100041,62850,155000,130
100042,93050,235000,100
100043,42150,500000,130
100044,66050,284500,120
100045,169350,164000,101
100046,46000,875000,100
100047,53150,125000,100
100048,69400,325000,100
100049,71950,275000,100
100050,57250,117000,100
100051,77750,125000,101
100052,53700,150000,100
100053,74800,290000,110
100054,49000,149900,101
100055,91000,273500,120
100056,104550,309534,110
100057,109100,145000,130
100058,111050,156000,100
100059,136450,600000,100
100060,89750,260000,110
100061,77600,150000,100
100062,95500,260000,120
100063,89150,193000,101
100064,101050,537500,100
100065,80700,176000,100
100066,76000,300000,100
100067,93100,185000,100
100068,9250,275000,100
100069,39650,1290000,110
100070,87900,161000,100
100071,83750,499250,100
100072,58050,410000,101
100073,78100,350000,110
100074,129200,200000,130
100075,55450,570000,100
100076,159050,153000,100
100077,118550,173900,100
100078,47650,222000,100
100079,77350,210000,100
100080,105950,135000,130
100081,70050,165000,111
100082,42400,110000,100
100083,86300,290000,100
100084,243750,200000,100
100085,90850,400000,110
100086,89800,229500,100
100087,66050,255000,100
100088,129150,162000,101
100089,164850,260000,130
100090,69600,348500,100
100091,79500,1060000,101
100092,61850,200000,130
100093,102950,258000,100
100094,72400,220000,100
100095,85500,565000,120
100096,162750,197307,100
100097,55150,160000,120
100098,118750,180000,100
100099,97200,300000,110
100100,99150,315000,100
100101,92400,325000,100
100102,88100,220000,100
100103,69550,145000,130
100104,60450,475000,110
100105,101550,299000,101
100106,92800,132000,100
100107,130100,149000,100
100108,170500,340000,100
100109,70600,443000,100
100110,92400,150876,100
100111,112450,192500,100
100112,66700,185000,100
100113,82250,235000,130
100114,97450,190000,130
100115,122300,355000,100
100116,105000,265000,100
100117,60200,185000,111
100118,65100,300000,100
100119,102500,230000,100
100120,127250,106300,130
100121,107150,245000,130
100122,143550,150000,100
100123,84500,258000,100
100124,62150,285000,100
100125,123150,330000,100
100126,104900,535000,100
100127,87300,285000,100
100128,89000,146000,130
100129,120950,395000,110
100130,73300,650000,110
100131,51450,350000,100
100132,122200,144000,100
100133,92600,195000,100
100134,122100,195000,100
100135,106050,182500,130
100136,101000,287500,100
100137,94050,500000,110
100138,110150,360000,110
100139,67200,121000,100
100140,80600,147000,100
100141,96800,190500,100
100142,60950,150000,110
100143,102200,75000,100
100144,120650,190000,100
100145,77950,190000,100
100146,73250,250000,110
100147,46650,165000,100
100148,96450,210000,100
100149,80400,270000,100
100150,84300,140000,110
100151,92550,104000,130
100152,100950,170000,100
100153,92900,192000,100
100154,93650,125000,100
100155,92000,131500,100
100156,79250,245000,100
100157,55750,185000,100
100158,145100,265000,100
100159,65750,281915,100
100160,66050,265000,100
100161,101850,281915,100
100162,66850,565000,100
100163,125200,385000,120
100164,118850,440000,110
100165,93850,675000,130
100166,113550,209000,101
100167,48500,110000,110
100168,82900,220000,130
100169,133500,350000,100
100170,101800,235000,100
100171,74450,582000,120
100172,53000,175000,130
100173,213600,550000,100
100174,43200,650000,391
100175,68450,400000,100
100176,93400,157500,131
100177,71800,231000,130
100178,93100,250000,120
100179,79950,345000,110
100180,48550,365000,110
100181,86450,345000,110
100182,179850,365000,110
100183,34250,250000,130
100184,103750,195000,100
100185,88850,1000000,110
100186,98200,905000,110
100187,111950,175000,110
100188,97200,140000,100
100189,89500,180000,100
100190,64850,180000,101
100191,56250,180000,100
100192,84100,170000,120
100193,133500,215000,100
100194,57200,275000,111
100195,99400,350000,120
100196,90650,330000,100
100197,93850,447000,100
100198,109150,190000,100
100199,86700,199000,100
100200,85600,185000,130
100201,120500,270000,130
100202,100700,199000,100
100203,86100,250000,120
100204,163350,335000,100
100205,62200,215000,100
100206,65900,235000,120
100207,84500,260000,100
100208,87750,200000,130
100209,102750,285000,100
100210,60950,219000,100
100211,130750,167000,100
100212,82650,285000,100
100213,45350,455000,100
100214,129650,285000,100
100215,115850,270000,100
100216,31100,299500,100
100217,119500,430000,121
100218,118850,220000,111
100219,101000,190000,100
100220,70550,240000,110
100221,52900,360000,110
100222,108950,260000,100
100223,86300,135000,100
100224,115800,237500,110
100225,41500,474000,110
100226,104100,238000,101
100227,78450,200000,111
100228,133250,155500,100
100229,89100,215000,100
100230,69150,282000,130
100231,102700,288500,100
100232,92400,250000,110
100233,94750,130000,100
