ID,Revenu,Souscription_web,Residence,Anciennete_proprietaire,Anciennete_emploi,Nombre_cartes,Passif_carte,Nombre_prets_accordes
100001,43593,Oui,Propriétaire,13,0,1,2315,0
100002,45706,Oui,Location,17,16,2,373,1
100003,44756,Oui,Propriétaire,19,6,1,2117,1
100004,44202,Oui,Propriétaire,8,0,2,748,0
100005,45715,Oui,Propriétaire,8,14,2,772,1
100006,43800,Oui,Propriétaire,0,4,2,725,0
100007,45049,Oui,Propriétaire,6,16,2,1345,1
100008,44974,Oui,Propriétaire,14,18,2,2772,0
100009,44956,Non,Location,21,21,2,806,1
100010,56087,Non,Propriétaire,27,18,1,4818,1
100011,48336,Non,Location,16,2,2,1227,0
100012,55642,Oui,Propriétaire,4,22,2,240,0
100013,52725,Oui,Propriétaire,26,9,2,12,0
100014,43795,Oui,Location,17,5,2,1171,0
100015,43650,Oui,Propriétaire,8,12,1,267,0
100016,43972,Oui,Location,0,13,1,340,1
100017,43330,Oui,Propriétaire,9,6,1,25,1
100018,59193,Oui,Propriétaire,26,0,2,2295,1
100019,44483,Non,Location,16,15,2,116,0
100020,43185,Oui,Propriétaire,1,9,2,1646,0
100021,50295,Non,Propriétaire,3,12,1,298,0
100022,46955,Non,Location,16,1,2,201,1
100023,51383,Non,Propriétaire,19,12,2,1119,1
100024,52540,Oui,Location,0,15,2,397,0
100025,55897,Non,Propriétaire,13,2,2,315,0
100026,44781,Oui,Propriétaire,15,4,1,331,0
100027,45217,Oui,Location,19,8,1,732,0
100028,44895,Oui,Location,8,0,2,888,1
100029,45209,Oui,Location,4,9,2,658,0
100030,45813,Non,Location,10,13,1,59,0
100031,43202,Oui,Propriétaire,17,7,1,1412,1
100032,45687,Oui,Propriétaire,22,16,2,1064,1
100033,49745,Non,Propriétaire,24,6,1,518,1
100034,53552,Oui,Location,19,22,2,1255,1
100035,52118,Oui,Location,17,22,2,2771,1
100036,55554,Oui,Propriétaire,27,0,1,708,0
100037,54792,Oui,Location,22,17,1,1223,0
100038,52973,Non,Location,13,3,1,2535,0
100039,52961,Oui,Location,17,4,1,1853,1
100040,43908,Non,Propriétaire,18,15,1,4242,0
100041,57718,Oui,Propriétaire,25,16,2,1555,1
100042,44052,Oui,Propriétaire,13,5,2,375,0
100043,44613,Non,Locataire gratuit,17,11,2,2134,0
100044,44193,Oui,Propriétaire,18,3,1,260,0
100045,45115,Oui,Propriétaire,11,13,2,5189,1
100046,43645,Oui,Propriétaire,5,13,2,502,0
100047,43474,Oui,Propriétaire,17,1,1,270,1
100048,43322,Oui,Propriétaire,15,6,2,218,1
100049,49678,Oui,Propriétaire,11,8,2,564,0
100050,56849,Oui,Propriétaire,4,4,1,117,1
100051,50808,Non,Location,19,18,2,457,0
100052,58505,Oui,Propriétaire,11,9,2,668,0
100053,51945,Non,Locataire gratuit,19,0,1,25,1
100054,49075,Non,Propriétaire,7,16,2,133,0
100055,56087,Oui,Location,14,16,2,1386,1
100056,53115,Oui,Propriétaire,12,1,2,674,0
100057,49008,Oui,Location,10,16,2,216,0
100058,54013,Oui,Location,9,4,1,996,0
100059,53195,Non,Propriétaire,8,31,2,7757,1
100060,52896,Oui,Propriétaire,19,6,2,1655,1
100061,54603,Non,Propriétaire,8,30,2,1562,1
100062,48511,Non,Propriétaire,21,25,1,793,0
100063,59036,Oui,Propriétaire,7,6,1,495,1
100064,53559,Oui,Propriétaire,7,19,2,2646,0
100065,44997,Non,Locataire gratuit,6,18,1,1238,1
100066,44442,Oui,Location,12,16,1,578,0
100067,44187,Oui,Propriétaire,19,3,1,693,0
100068,44617,Non,Location,4,10,2,154,1
100069,44684,Oui,Propriétaire,6,9,1,194,1
100070,44831,Oui,Location,15,2,1,1597,1
100071,43482,Oui,Propriétaire,4,1,1,361,1
100072,43989,Oui,Propriétaire,8,10,1,30,1
100073,43957,Non,Propriétaire,18,13,2,286,1
100074,47833,Oui,Propriétaire,9,6,1,854,0
100075,56891,Non,Propriétaire,26,1,1,1543,1
100076,58026,Oui,Location,17,13,1,6156,0
100077,53791,Oui,Location,1,15,1,1844,1
100078,59463,Non,Propriétaire,2,9,2,1298,1
100079,44159,Oui,Location,6,4,1,1110,0
100080,59508,Oui,Propriétaire,2,19,1,3671,1
100081,51219,Oui,Location,14,15,2,1292,1
100082,56486,Oui,Propriétaire,5,11,1,696,1
100083,47623,Non,Propriétaire,23,7,1,784,1
100084,49007,Non,Propriétaire,14,18,1,13360,0
100085,43895,Oui,Propriétaire,7,18,1,446,1
100086,55497,Oui,Location,7,3,1,637,1
100087,45066,Oui,Location,16,15,1,860,1
100088,44202,Non,Propriétaire,1,23,2,2611,0
100089,45518,Oui,Propriétaire,17,22,1,8231,1
100090,43890,Oui,Propriétaire,19,18,2,505,1
100091,44772,Oui,Propriétaire,9,6,1,469,0
100092,44271,Oui,Location,17,20,1,284,1
100093,43874,Non,Location,18,0,2,1320,1
100094,43888,Oui,Location,16,21,1,3820,1
100095,44194,Oui,Location,16,2,2,1007,1
100096,53201,Non,Propriétaire,18,29,1,17134,0
100097,45238,Oui,Location,9,6,2,326,1
100098,54673,Oui,Propriétaire,15,22,2,3086,1
100099,46949,Oui,Propriétaire,0,2,2,1634,1
100100,57689,Non,Location,25,19,1,331,1
100101,45869,Oui,Location,21,8,2,71,1
100102,43799,Oui,Propriétaire,11,4,1,145,0
100103,47026,Non,Propriétaire,23,18,2,1368,0
100104,46645,Non,Propriétaire,19,4,1,884,0
100105,44048,Non,Propriétaire,0,6,1,222,0
100106,45970,Non,Propriétaire,11,7,1,579,0
100107,45949,Non,Location,17,7,1,3865,0
100108,45659,Oui,Propriétaire,12,17,1,9466,1
100109,43750,Non,Propriétaire,13,6,1,988,1
100110,44318,Oui,Propriétaire,8,19,1,2096,0
100111,43761,Non,Propriétaire,10,6,1,1418,0
100112,45673,Oui,Propriétaire,22,16,1,359,0
100113,54938,Non,Propriétaire,5,15,2,268,0
100114,49409,Oui,Propriétaire,11,12,2,107,1
100115,54021,Oui,Location,2,4,1,101,1
100116,48084,Oui,Location,10,3,2,555,1
100117,50799,Oui,Location,22,19,2,1919,0
100118,46785,Oui,Location,14,4,1,1227,1
100119,53365,Oui,Location,21,26,1,3819,0
100120,50515,Non,Location,3,5,1,1642,1
100121,55421,Non,Location,11,3,2,1169,0
100122,47734,Oui,Logement social,23,6,2,2631,1
100123,44449,Oui,Location,9,16,1,4168,0
100124,55777,Oui,Location,1,11,2,453,0
100125,47422,Oui,Location,11,12,2,2010,1
