ID,Incident
100001,Non
100002,Oui
100003,Non
100004,Non
100005,Non
100006,Non
100007,Non
100008,Non
100009,Oui
100010,Non
100011,Oui
100012,Non
100013,Non
100014,Oui
100015,Non
100016,Oui
100017,Non
100018,Non
100019,Oui
100020,Non
100021,Non
100022,Oui
100023,Non
100024,Oui
100025,Non
100026,Non
100027,Oui
100028,Oui
100029,Oui
100030,Oui
100031,Non
100032,Non
100033,Non
100034,Oui
100035,Oui
100036,Non
100037,Oui
100038,Oui
100039,Oui
100040,Non
100041,Oui
100042,Oui
100043,Oui
100044,Non
100045,Non
100046,Non
100047,Non
100048,Non
100049,Non
100050,Non
100051,Oui
100052,Non
100053,Oui
100054,Oui
100055,Non
100056,Oui
100057,Non
100058,Non
100059,Non
100060,Oui
100061,Non
100062,Non
100063,Oui
100064,Non
100065,Non
100066,Oui
100067,Non
100068,Oui
100069,Non
100070,Oui
100071,Non
100072,Non
100073,Non
100074,Non
100075,Non
100076,Oui
100077,Oui
100078,Non
100079,Oui
100080,Non
100081,Oui
100082,Non
100083,Non
100084,Non
100085,Non
100086,Oui
100087,Oui
100088,Non
100089,Non
100090,Non
100091,Non
100092,Oui
100093,Oui
100094,Oui
100095,Oui
100096,Non
100097,Oui
100098,Non
100099,Non
100100,Oui
100101,Oui
100102,Non
100103,Non
100104,Non
100105,Non
100106,Non
100107,Oui
100108,Non
100109,Non
100110,Non
100111,Non
100112,Non
100113,Non
100114,Non
100115,Oui
100116,Oui
100117,Oui
100118,Non
100119,Oui
100120,Oui
100121,Oui
100122,Non
100123,Oui
100124,Oui
100125,Oui
100126,Oui
100127,Non
100128,Oui
100129,Non
100130,Non
100131,Non
100132,Non
100133,Oui
100134,Oui
100135,Non
100136,Non
100137,Non
100138,Non
100139,Non
100140,Oui
100141,Oui
100142,Non
100143,Non
100144,Non
100145,Non
100146,Oui
100147,Oui
100148,Non
100149,Oui
100150,Non
100151,Non
100152,Oui
100153,Oui
100154,Non
100155,Non
100156,Non
100157,Oui
100158,Oui
100159,Non
100160,Oui
100161,Oui
100162,Oui
100163,Oui
100164,Oui
100165,Non
100166,Non
100167,Non
100168,Non
100169,Non
100170,Non
